Region,Cuisine,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient16,Ingredient17,Ingredient18,Ingredient19,Ingredient20,Ingredient21,Ingredient22,Ingredient23,Ingredient24,Ingredient25,Ingredient26,Ingredient27,Ingredient28,Ingredient29,Ingredient30,,
Asian,Vietnamese,vinegar,cilantro,mint,olive_oil,cayenne,fish,lime_juice,shrimp,lettuce,carrot,garlic,basil,cucumber,rice,seed,shiitake,,,,,,,,,,,,,,,,
Asian,Vietnamese,onion,cayenne,fish,black_pepper,seed,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,garlic,soy_sauce,lime_juice,thai_pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,cilantro,shallot,lime_juice,fish,cayenne,ginger,pea,bean,basil,vegetable_oil,beef_broth,rice,mint,roasted_beef,lime,,,,,,,,,,,,,,,,,
Asian,Vietnamese,coriander,vinegar,lemon,lime_juice,fish,cayenne,scallion,cucumber,peanut,garlic,rice,mint,shrimp,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,coriander,lemongrass,sesame_oil,beef,root,fish,cucumber,vegetable_oil,basil,garlic,rice,mint,soy_sauce,lime,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,tomato,lemon,black_pepper,shiitake,cayenne,garlic,oregano,pineapple,basil,vegetable_oil,chicken,rice,mint,fish,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,butter,vinegar,pork,wheat,mushroom,shallot,cayenne,fish,lime_juice,shrimp,black_pepper,bean,carrot,garlic,lard,vegetable_oil,rice,egg,bread,,,,,,,,,,,,,
Asian,Vietnamese,shallot,peanut,fish,cayenne,lime_juice,mango,lime,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,coriander,fenugreek,pepper,black_pepper,chicken_broth,lime_juice,cumin,ginger,garlic,turmeric,vegetable_oil,chicken,rice,lemongrass,fish,coconut,cayenne,,,,,,,,,,,,,,,
Asian,Vietnamese,butter,cane_molasses,pumpkin,milk_fat,nutmeg,cinnamon,cream,egg,milk,bread,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,coriander,sesame_oil,beef,lime_juice,fish,cayenne,lettuce,cucumber,basil,garlic,rice,mint,roasted_peanut,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,coriander,pepper,rice,onion,beef,chicken_broth,cayenne,cilantro,scallion,bean,macaroni,bell_pepper,vegetable_oil,garlic,cabbage,shrimp,lemongrass,fish,thai_pepper,lime,,,,,,,,,,,,
Asian,Vietnamese,chicken_broth,shiitake,garlic,vegetable_oil,rice,fish,wine,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,tomato,onion,scallion,garlic,vegetable_oil,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,cane_molasses,coconut,cayenne,fish,pork,soybean,mint,lime,cilantro,lime_juice,scallion,basil,vegetable_oil,rice,lemongrass,mushroom,black_pepper,garlic,mung_bean,onion,shrimp,root,turmeric,,,,,,,,,
Asian,Vietnamese,cane_molasses,tomato,onion,beef,shallot,cayenne,fish,lime_juice,vegetable_oil,ginger,lettuce,sherry,cucumber,pineapple,basil,garlic,watercress,soy_sauce,oyster,,,,,,,,,,,,,
Asian,Vietnamese,garlic,fish,carrot,lime_juice,thai_pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,butter,vinegar,rice,onion,beef,soy_sauce,black_pepper,scallion,lime,garlic,vegetable_oil,watercress,fish,wine,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,butter,dill,cilantro,wheat,onion,yeast,shallot,lime_juice,fish,black_pepper,garlic,lime,lettuce,macaroni,catfish,peanut,vegetable_oil,rice,turmeric,,,,,,,,,,,,,
